System Name | Folder Name | File Extension | Cores |
Amstrad CPC | CPC | sna, kcr | crocods |
Arcade | ARCADE | *(none)* | mame2003_plus, fbneo, fbalpha2012, fbalpha2012_cps1, fbalpha2012_cps2, fbalpha2012_cps3, km_mame2003_xtreme, mame2003_midway, mame2003, mame2000, mba_mini |
Atari - 800 | EIGHTHUNDRED | xex | atari800 |
Atari 2600 | ATARI | a26 | stella2014 |
Atari 5200 | FIFTYTWOHUNDRED | a52 | a5200 |
Atari 7800 | SEVENTYEIGHTHUNDRED | a78 | prosystem |
Atari Jaguar | JAGUAR | j64, jag | virtualjaguar |
Atari Lynx | LYNX | lnx | handy, mednafen_lynx |
Atari ST | ATARIST | *(none)* | hatari |
Sufami Turbo | SUFAMI | *(none)* | snes9x |
WonderSwanColor | WS | ws, pc2 | mednafen_wswan |
CPS1 | CPS1 | *(none)* | fbalpha2012_cps1, mame2003_plus, fbneo, fbalpha2012, fbalpha2012_cps1, km_mame2003_xtreme, mame2003_midway, mame2003, mame2000, mba_mini |
CPS2 | CPS2 | *(none)* | fbalpha2012_cps2, mame2003_plus, fbneo, fbalpha2012, fbalpha2012_cps2, km_mame2003_xtreme, mame2003_midway, mame2003, mame2000, mba_mini |
CPS3 | CPS3 | *(none)* | fbalpha2012_cps3, mame2003_plus, fbneo, fbalpha2012, fbalpha2012_cps3, km_mame2003_xtreme, mame2003_midway, mame2003, mame2000, mba_mini |
ColecoVision | COLECO | ri, col, sc | bluemsx |
Amiga | AMIGA | adf, adz, dms, fdi, ipf, hdf, hdz, lha, slave, info, nrg, mds, uae, rp9 | puae2021, puae, uae4arm |
Commodore 64 | COMMODORE | *(none)* | vice_x64 |
VIC-20 | VIC20 | *(none)* | vice_xvic |
Fairchild ChannelF | FAIRCHILD | chf | freechaf |
Vectrex | VECTREX | vec | vecx |
Odyssey 2 | ODYSSEY | *(none)* | o2em |
Intellivision | INTELLIVISION | int | freeintv |
Mega Duck | MEGADUCK | *(none)* | sameduck |
MS-DOS | DOS | dosz, exe, com, bat, ins, ima, vhd, jrc, tc, m3u8, conf | dosbox_pure, dosbox_pure_0.9.7 |
MSX | MSX | mx1, mx2 | bluemsx, fmsx |
